location_name,tso,country_hint,lat_lon,resistance_ohm,reactance_ohm,susceptance_us,segment_length_km
 T.SUP / PRION - TAVEL,RTE,fr,"43.7016884209936, 5.76639036794062",0.01,0.19,2.48,0.64
ABRAMOWICE,PSE,pl,"51.20000000000001, 22.58",3.18,23.28,150.21,55.30
ACHENE,RTE,fr,"50.2605414, 5.0554179",1.57,19.76,244.00,64.16
ACHENE SNCB,ELIA,be,"50.260585, 5.0569689",0.01,0.14,0.00,0.05
ADAMOW,PSE,pl,"52.015, 18.544999999999998",2.11,15.50,103.93,37.50
AIRVAULT,RTE,fr,"46.8237178242065, -0.125178703411559",0.33,2.21,15.87,5.51
ALBERTVILLE,RTE,fr,"45.6675236407012, 6.42556817107442",0.39,1.58,10.00,3.79
ALEGRO CONVERTOR STATION,ELIA,be,"50.79236828681934, 5.930493418339387",0.00,0.05,7.45,0.10
ALLINGES,RTE,fr,"46.3403763161876, 6.4893372603749295",2.42,14.47,108.05,36.99
ALYTUS,PSE,pl,"54.39000000000001, 23.990000000000002",2.14,23.22,320.83,111.67
ANDRE DUMONT,ELIA,be,"50.85795893333333, 5.515368166666666",0.21,1.98,22.97,6.30
ANIOLOW,PSE,pl,"50.83, 19.14",1.01,6.29,41.36,15.10
ANOULD,RTE,fr,"48.1849171344717, 6.96042330841946",2.89,19.20,136.05,47.62
AOSTE,RTE,fr,"45.5837566648204, 5.61141262909355",2.40,10.32,66.82,24.49
AQUEDUCS (LES),RTE,fr,"48.6139639324767, 2.4490084344085",0.55,3.64,26.52,9.16
ARDOISE (L ),RTE,fr,"44.1013394729867, 4.7181939121634695",0.65,4.32,31.09,10.61
ARENC,RTE,fr,"43.3219300339247, 5.36689639226228",0.25,0.48,140.52,2.88
ARGIA (BAYONNE SUD),RTE,fr,"43.4214336121191, -1.43019090532984",0.38,2.65,179.56,7.97
ARGIESANS,RTE,fr,"47.6016872251628, 6.8139875470167",0.87,4.44,31.28,11.14
ARGOEUVES,RTE,fr,"49.94626214703248, 2.2571158548110266",0.49,8.33,145.64,33.28
ARLOD,RTE,fr,"46.0972386773955, 5.8177024499346",0.34,1.76,72.00,5.28
ARNAGE,RTE,fr,"47.9314375385669, 0.19417435744025402",0.33,2.22,16.41,5.56
ARRIGHI,RTE,fr,"48.79222789154858, 2.4210293679714368",0.14,0.47,411.80,4.47
ATTAQUES (LES),RTE,fr,"50.9264507970297, 1.91905581912295",0.61,4.05,29.27,10.12
AUBANGE,RTE,fr,"49.5667758, 5.7943429",0.23,1.88,12.63,4.52
AUBE,RTE,fr,"48.7430035589293, 0.557498835425448",4.99,22.67,152.26,54.80
AUBUSSON,RTE,fr,"45.9536153639265, 2.18933306437158",6.06,28.67,186.63,68.30
AULNOYE,RTE,fr,"50.1992820508303, 3.81612993062417",0.53,2.45,16.34,5.90
AUSSOIS,RTE,fr,"45.2148590784556, 6.71227551833875",1.07,4.33,30.00,10.43
AUZAT,RTE,fr,"42.7630318518337, 1.4778048856595",1.64,6.39,44.49,15.77
AVALLON,RTE,fr,"47.4966298493931, 3.91964926990742",1.54,7.83,53.35,19.04
AVELGEM,RTE,fr,"50.787440700000005, 3.4740219",1.07,13.57,154.95,19.62
AVELIN,RTE,fr,"50.23809860777528, 2.639236958545312",1.07,13.57,154.95,19.62
AVIGNON (POSTE),RTE,fr,"43.9482692265945, 4.8548198209498",0.36,2.36,17.08,5.86
AVOINE,RTE,fr,"47.2307920817127, 0.171159809312864",0.04,0.28,92.74,1.66
AVOINE (POSTE 400 KV),RTE,fr,"47.23272170663283, 0.17186331906603458",0.01,0.15,1.09,0.38
AWIRS,ELIA,be,"50.5845597, 5.4151124",0.33,2.64,18.65,6.60
Alba Iulia,TEL,"","46.089528, 23.57033",3.34,19.74,127.00,47.00
Albertirsa,MAVIR,hu,"47.22662222, 19.57951111",0.96,11.80,171.53,42.60
Albrechtice,CEPS,cz,"49.7846711, 18.5059508",0.48,5.01,58.00,16.50
Alfstedt,TENNETGMBH,de,"53.445, 9.065000000000001",1.57,17.27,225.39,58.49
Algermissen,TENNETGMBH,de,"52.26, 9.91",0.37,3.51,62.56,13.95
Altbach,TRANSNETBW,de,"48.72, 9.37",0.13,2.04,31.89,7.50
Altdöbern,50HERTZ,de,"51.64, 14.0",1.25,13.43,224.10,50.51
Altenfeld,TENNETGMBH,de,"50.480242625, 11.029581125",1.17,14.50,267.66,56.08
Altenkleusheim,AMPRION GMBH,de,"51.0161, 7.9425",1.00,4.63,84.40,18.88
Altentreptow/Nord,50HERTZ,de,"53.7367, 13.3178",1.42,13.75,219.57,52.12
Altentreptow/Süd,50HERTZ,de,"53.6242, 13.1786",1.62,17.83,290.28,68.80
Altheim,APG,at,"48.544, 12.4",0.15,0.76,5.53,1.90
Altlussheim,TRANSNETBW,de,"49.32, 8.52",0.63,4.66,91.80,21.06
Amelsbueren,AMPRION GMBH,de,"51.89860000000001, 7.6069",1.66,8.32,104.80,28.19
Arad,TEL,"","46.204102963333334, 21.170616759999998",1.69,17.90,185.60,55.00
Arefu,TEL,"","45.3276344237465, 24.63604074193",2.42,24.00,242.00,72.00
Arpe,AMPRION GMBH,de,"51.1781, 8.2116",1.50,12.93,220.80,51.02
Aschaffenburg,TENNETGMBH,de,"49.98, 9.285",0.76,8.38,121.52,29.83
Asphard,TRANSNETBW,de,"47.54, 7.752",2.89,24.98,434.58,55.40
Asslar,TENNETGMBH,de,"50.589, 8.174833333333334",0.52,4.57,78.29,17.79
Audorf,TENNETGMBH,de,"54.305, 9.735",1.65,9.53,73.15,24.61
Audorf/S,TENNETGMBH,de,"54.306, 9.736",0.46,8.25,164.15,69.04
BACALAN,RTE,fr,"44.882323673383, -0.545953399259104",0.59,3.97,32.79,9.89
BAIXAS,RTE,fr,"42.742412511032796, 2.81396730284699",1.56,22.20,263.75,71.08
BALARUC,RTE,fr,"43.4459539082843, 3.70643769217964",1.22,8.12,58.52,19.92
BALMA (POSTE),RTE,fr,"43.62613789269461, 1.5040313790435",0.94,6.33,45.32,15.74
BARBUISE,RTE,fr,"48.560823984317, 3.59193953332161",5.30,24.68,163.78,26.24
BARJAC,RTE,fr,"44.3147782721765, 4.34308581650561",4.82,15.39,118.67,21.47
BARNABOS,RTE,fr,"49.667738003992, 1.02252449119014",0.44,5.75,95.12,21.81
BASF,AMPRION GMBH,de,"49.5297, 8.40944",1.56,8.70,110.20,29.58
BASTILLAC,RTE,fr,"43.2251143043004, 0.0393437184797942",3.17,20.68,148.13,32.17
BATZENDORF,RTE,fr,"48.799138438798, 7.72448528288633",1.80,11.99,87.04,11.88
BAULER,Creos,lu,"49.958800000000004, 6.20564",0.24,1.51,19.48,5.00
BAYET,RTE,fr,"46.27870893279945, 3.2997853180054757",2.47,16.47,119.15,24.72
BEAUCHAMPS,RTE,fr,"50.0069755726538, 1.52487165612681",3.21,21.64,155.08,54.09
BEAULIEU,RTE,fr,"46.1757069797766, -1.12064189299098",1.80,12.41,91.58,16.00
BEAUMONT-MONTEUX,RTE,fr,"45.0182479374495, 4.92656161125657",1.17,5.76,46.00,11.27
BEAUREGARD (SAINT-LAURENT-NOUAN),RTE,fr,"47.7099419489448, 1.71007679280331",1.78,8.52,55.48,77.91
BEAUTOR (POSTE),RTE,fr,"49.663989773013604, 3.3364961087686704",4.26,20.97,145.75,0.70
BEC,RTE,fr,"45.033536663886, -0.594561330303956",0.27,1.17,39.67,4.81
BELLE-DE-MAI,RTE,fr,"43.3104113822092, 5.38828219309148",0.25,0.48,140.52,2.88
BELLE-EPINE,RTE,fr,"48.1279913366223, -1.75358863488905",1.02,6.86,151.06,7.20
BELVAL,ELIA,be,"49.50428099719265, 5.9558542143821",0.22,1.12,14.31,1.00
BERCHEM ,Creos,lu,"49.550828, 6.139148",0.36,1.99,222.74,8.60
BERGE,RTE,fr,"43.8363078061938, -0.872708386467632",1.22,7.94,57.83,3.18
BERGHOLZ,RTE,fr,"48.7674938107223, 7.08921723112897",0.77,11.00,172.40,41.36
BERNEAU,ELIA,be,"50.7535088, 5.7371521",0.33,1.90,233.20,6.42
BERTRANGE,Creos,lu,"49.60399900000001, 6.035",0.60,3.07,26.08,10.40
BERTRANGE ,Creos,lu,"49.603999, 6.035",0.60,3.07,26.08,10.40
BEZAUMONT,RTE,fr,"48.86405327483697, 6.104283645912647",0.76,5.07,36.64,12.62
BEZIERS-EST,RTE,fr,"43.3620130339126, 3.2698397649861803",0.26,0.76,229.03,4.44
BEZON,RTE,fr,"47.9065918164957, -2.4165075797377",6.78,35.21,248.74,86.50
BIANCON,RTE,fr,"43.60067611085128, 6.8415483418759155",0.70,5.15,527.97,17.85
BIERUN,PSE,pl,"50.09, 19.17",1.09,6.89,54.26,16.60
BISSY,RTE,fr,"45.5901600300935, 5.900621563781",1.63,7.68,106.70,18.96
BLACHOWNIA,PSE,pl,"50.79, 18.96",2.87,19.81,149.07,50.80
BLOCAUX,RTE,fr,"49.7720297200255, 1.78274308908192",0.72,5.42,1889.02,29.14
BLOOREN ,Creos,lu,"49.66198000000001, 6.2388167999999995",1.88,9.27,235.62,45.00
BOCTOIS,RTE,fr,"48.5294301572455, 3.5207948301474",0.71,9.37,154.65,35.55
BOGUCHWALA,PSE,pl,"50.0, 21.93",3.82,28.40,185.64,67.90
BOGUSZOW,PSE,pl,"50.75, 16.19",1.07,7.83,52.50,19.00
BOIS-TOLLOT,RTE,fr,"46.2508078780839, 6.05529162589445",1.11,10.88,119.95,33.63
BOISSE (LA),RTE,fr,"45.84461773982248, 5.028683652496416",0.66,4.98,74.00,12.61
BOLLENE (POSTE RESEAU),RTE,fr,"44.308330327006104, 4.73965805037116",0.32,2.17,15.58,5.56
BONNEAU,RTE,fr,"46.603344433024205, 0.39847962785568103",1.65,10.44,84.59,27.59
BONNIERES,RTE,fr,"49.0227171445396, 1.55945115140599",1.70,11.35,81.96,28.49
BOUDEYRE,RTE,fr,"44.5754120720169, 4.37258692299264",1.72,7.67,53.43,19.10
BOULE (LA),RTE,fr,"48.8872239119416, 2.20301968603148",0.09,0.61,285.84,3.51
BOURGUIGNON,RTE,fr,"47.421553931942, 6.7756135842657",1.14,4.79,33.69,11.88
BOUTRE,RTE,fr,"43.690931579958, 5.83233275062647",0.15,2.36,34.14,8.95
BRAILLY-CORNEHOTTE,RTE,fr,"50.2364734339794, 1.96766266452675",2.77,12.60,87.36,30.95
BRAUD,RTE,fr,"45.27097433749313, -0.6688018263310687",0.64,9.32,115.88,30.53
BRENNILIS,RTE,fr,"48.3546337501589, -3.86752118144212",1.30,8.60,62.59,21.44
BRENS (CNR),RTE,fr,"43.9055032729791, 1.95984157740921",0.98,6.55,47.50,16.58
BREUIL (LE),RTE,fr,"45.2462869028083, 2.21391667962722",1.79,8.35,54.52,19.92
BROC-CARROS (LE),RTE,fr,"43.8131108323968, 7.20148780729103",0.72,4.79,34.36,11.93
BRODE,RTE,fr,"51.0134552044698, 2.164883698652",0.02,0.16,1.11,0.37
BRUEGEL,ELIA,be,"50.880982, 4.2316669",1.47,15.51,182.60,47.30
BRUGES,RTE,fr,"44.8908584304344, -0.636295441740249",0.59,3.97,32.79,9.89
BRUME,ELIA,be,"50.382164666666675, 5.849652766666666",0.00,0.05,0.00,1.00
BRUME SNCB,ELIA,be,"50.375913, 5.844861",0.00,0.05,0.00,1.00
BUIRE,RTE,fr,"49.9161179472797, 4.04907451162396",2.64,17.72,126.42,44.04
BUJAKOW,PSE,pl,"49.82136005, 19.064380933333336",3.01,16.84,112.00,61.98
BUTTES-CHAUMONT,RTE,fr,"48.875687056785, 2.3762770886954",0.17,0.66,574.00,6.20
BYCZYNA,PSE,pl,"50.16333333333333, 19.293333333333333",0.88,6.19,51.20,15.70
BYDGOSZCZ ZACHOD,PSE,pl,"53.09666666666667, 17.886666666666667",0.88,10.07,109.86,31.73
Babylon,CEPS,cz,"50.644328566666665, 14.462662766666668",1.28,16.02,217.00,53.60
Bacau Sud,TEL,"","46.540923, 26.950756",2.00,18.52,184.00,55.00
Bacharach,AMPRION GMBH,de,"50.0261, 7.69259",0.44,3.87,67.10,15.38
Baia Mare 3,TEL,"","47.638593, 23.605188",2.35,13.91,89.42,33.00
Bandstahl,AMPRION GMBH,de,"50.44649, 7.4437",0.27,1.57,19.50,5.29
Barbosi,TEL,"","45.410367, 27.97574",0.50,2.80,18.00,7.00
Baru Mare,TEL,"","45.472125, 23.168235",1.60,8.50,55.00,20.00
Bauler,AMPRION GMBH,de,"49.968900000000005, 6.2213899999999995",0.60,5.76,80.60,20.57
Bayer,AMPRION GMBH,de,"51.0125, 6.97611",0.23,1.32,81.60,9.90
Bechterdissen,TENNETGMBH,de,"52.06747272727273, 8.670454545454545",0.35,3.26,59.85,13.22
Bekescsaba,TEL,"","46.64937333, 21.13478083",0.66,5.60,86.86,20.80
Benteler,AMPRION GMBH,de,"52.4692, 7.31778",0.07,0.37,4.60,1.25
Bentwisch,50HERTZ,de,"54.1148, 12.229",4.69,19.40,247.34,65.35
Bergmannsglueck,AMPRION GMBH,de,"51.5991, 7.03732",1.76,10.02,115.90,32.54
Bergrheinfeld/W,TENNETGMBH,de,"49.987, 9.931999999999999",2.88,30.71,469.30,112.77
Bergshausen,TENNETGMBH,de,"51.25, 9.5",0.34,2.89,50.86,11.39
Bergum,TENNET NL,nl,"53.22, 6.04",0.26,2.85,47.70,10.85
Bericevo,ELES,si,"46.095016666666666, 14.619186111111109",0.78,5.27,38.00,13.19
Bertikow,50HERTZ,de,"53.262100000000004, 13.9668",0.54,7.84,149.82,31.24
Beuren,TRANSNETBW,de,"47.81, 8.49",0.37,2.93,60.79,12.20
Beverwijk,TENNET NL,nl,"52.4875, 4.6975",0.00,0.00,65.42,0.00
Bezdecin,CEPS,cz,"50.66308060000001, 15.1181017",1.28,16.02,217.00,53.60
Beznau,AMPRION GMBH,de,"47.6131, 8.24778","","","",""
Bicske Del,MAVIR,hu,"47.4738, 18.6527",0.51,5.74,129.84,24.54
Bilice,HOPS,hr,"43.763100666666666, 15.909796666666667",4.30,22.09,143.90,53.13
Birkenfeld,TRANSNETBW,de,"48.89, 8.64",0.97,6.83,141.21,29.30
Bisamberg,APG,at,"48.37867, 16.402829999999998",0.90,16.34,230.00,57.30
Bischofsheim,AMPRION GMBH,de,"49.9819, 8.38806",0.46,4.25,73.80,16.92
Bixterheide,AMPRION GMBH,de,"51.4093, 7.7245",1.38,7.71,70.60,22.27
Bleiswijk,TENNET NL,nl,"52.04666666666666, 4.536666666666666",0.28,4.52,88.98,18.56
Blockland,TENNETGMBH,de,"53.09, 8.82",3.19,18.18,140.74,47.68
Bochum,AMPRION GMBH,de,"51.4736, 7.18",0.19,1.85,28.30,6.91
Bocklemuend,AMPRION GMBH,de,"50.9944, 6.86139",0.27,1.42,17.20,4.72
Bollenacker,AMPRION GMBH,de,"50.8335, 6.96312",0.26,2.58,39.80,9.68
Borken,TENNETGMBH,de,"51.06857142857143, 9.268571428571429",0.51,4.73,83.15,18.63
Borssele,TENNET NL,nl,"51.44, 3.74",0.87,10.18,153.07,37.20
Bosaca,SEPS,sk,"48.794525, 17.838117",0.94,11.51,165.72,41.00
Boxmeer,TENNET NL,nl,"51.65, 5.92",0.98,11.48,172.48,41.92
Bradu,TEL,"","44.762245, 24.89532",0.45,2.70,17.00,6.00
Brasov,TEL,"","45.680774, 25.641639",0.46,4.39,44.00,13.00
Braunschweig/N,TENNETGMBH,de,"52.269999999999996, 10.52",0.84,4.24,31.73,10.57
Brauweiler,AMPRION GMBH,de,"50.97752857142857, 6.812258571428572",0.16,2.65,60.60,12.09
Brazi Vest,TEL,"","44.899477142857144, 25.97498714285714",1.30,12.40,123.00,32.80
Breukelen Kortrijk,TENNET NL,nl,"52.16, 4.99",0.48,5.67,85.26,20.72
Brinje,HOPS,hr,"44.991478, 15.108612",1.24,6.66,41.62,15.53
Brokdorf,TENNETGMBH,de,"53.87, 9.45",3.48,18.64,145.70,49.14
Bruchsal/Kaendelweg,TRANSNETBW,de,"49.04, 8.65",0.14,1.24,24.69,5.20
Brunsbuettel,TENNETGMBH,de,"53.90857142857143, 9.218571428571428",0.00,0.08,1.27,0.60
Brunsbuettel 50H,TENNETGMBH,de,"53.933, 9.237",0.00,0.08,1.27,0.60
Brunsbüttel,50HERTZ,de,"53.900800000000004, 9.207629999999998",0.00,0.20,0.35,0.20
Bucuresti Sud,TEL,"","44.404999, 26.160196000000003",0.35,2.05,13.00,4.80
Buehl,TRANSNETBW,de,"48.71, 8.12",1.24,6.29,83.32,21.47
Buenzwangen,TRANSNETBW,de,"48.71, 9.56",0.23,3.36,55.54,12.80
Buers,TRANSNETBW,de,"47.18734791666666, 9.880935108333334",1.00,14.37,170.12,0.00
Buerstadt,AMPRION GMBH,de,"49.63764444444445, 8.426504444444443",1.74,14.86,257.40,59.06
Buescherhof,AMPRION GMBH,de,"51.5033, 6.931",0.40,3.65,64.60,14.67
Buettel,TENNETGMBH,de,"54.095, 9.22",0.22,2.67,36.52,9.27
Buj,MAVIR,hu,"48.0641363, 21.6432946",1.10,13.16,163.27,43.89
Bystricany,SEPS,sk,"48.671471, 18.51699",5.05,19.75,218.95,61.80
Bystricany T401,SEPS,sk,"48.666471, 18.51199","","","",""
Bystricany T402,SEPS,sk,"48.666471, 18.51199","","","",""
Bärwalde,50HERTZ,de,"51.42340000000001, 14.5174",0.67,5.59,96.42,21.80
C. Stred,CEPS,cz,"50.15058420909091, 14.77486960909091",1.30,7.27,51.00,19.80
CAEN,RTE,fr,"49.1812974025085, -0.34571325553325",0.45,3.02,21.35,7.49
CALAN,RTE,fr,"47.88060499128719, -3.30332748983297",0.10,1.07,508.95,6.80
CANTEGRIT,RTE,fr,"44.0178119377753, -0.882497741257109",1.22,7.94,57.83,3.18
CAPELLE (LA),RTE,fr,"49.9739308579655, 3.93404365318946",1.83,12.24,87.57,30.47
CARRIERES,RTE,fr,"49.2472394449119, 2.44551423355521",0.45,4.26,61.61,15.65
CASTELLE (LA),RTE,fr,"43.5680946136438, 3.87233246858816",0.49,3.27,153.03,9.38
CASTELLET (LE),RTE,fr,"43.2506856813265, 5.72387144422657",1.20,7.95,57.86,19.98
CAZARIL,RTE,fr,"43.1842002784053, 0.5265309716572739",0.78,4.67,33.99,11.75
CENTRALE AWIRS,ELIA,be,"50.5845597, 5.4151124",0.10,1.16,744.18,10.00
CENTRALE COO,ELIA,be,"50.3948476, 5.8716919",0.06,0.66,7.72,2.00
CERGY,RTE,fr,"49.053985088581484, 2.064461735436166",0.28,1.86,13.51,4.67
CERNAY,RTE,fr,"49.282314413460696, 4.0962291412140095",1.05,7.01,50.63,17.55
CESTAS,RTE,fr,"44.72015522888, -0.797758127522355",0.84,5.60,55.45,14.47
CHABOSSIERE (LA),RTE,fr,"47.2065764414006, -1.68535481480555",0.42,2.86,21.10,7.33
CHAFFARD (LE),RTE,fr,"45.675354064265434, 5.1356295378132835",4.15,41.63,519.05,0.00
CHAINGY,RTE,fr,"47.888799361631534, 1.8161289604486635",0.72,7.29,90.07,23.93
CHALON,RTE,fr,"46.76985222262427, 4.867320821971067",0.75,7.05,102.74,25.07
CHAMBRY,RTE,fr,"48.9847591650438, 2.90748316148045",0.20,1.62,15.87,4.72
CHAMPAGNIER,RTE,fr,"45.11180752084284, 5.714883407181185",0.52,3.38,24.57,8.40
CHAMPAGNOLE,RTE,fr,"46.7582623400024, 5.90755493459747",1.64,9.73,72.34,24.84
CHAMPFLEUR,RTE,fr,"48.3748862979422, 0.105382519679884",1.32,8.75,63.56,21.94
CHAMPION,ELIA,be,"50.4886621, 4.9037791",1.00,10.56,124.25,32.20
CHAMPS-REGNAUD,RTE,fr,"47.3624900563572, 5.070000397609459",2.65,12.36,86.01,30.50
CHAMPVANS,RTE,fr,"47.0984116177334, 5.4447631059576596",2.39,15.87,115.14,39.71
CHANCEAUX,RTE,fr,"47.48842028597577, 0.7012931873505277",0.44,5.84,96.61,22.16
CHANCENAY,RTE,fr,"48.6768634730304, 4.99839276178379",0.98,6.52,47.09,16.24
CHARENTON,RTE,fr,"48.830781957563204, 2.4168733439554604",0.14,0.47,411.80,4.47
CHARPENAY,RTE,fr,"45.82869692795911, 4.7000806764059995",0.53,9.71,131.07,32.88
CHATEAU-GOMBERT,RTE,fr,"43.34771536986081, 5.441685606404159",0.34,1.12,343.36,6.36
CHATEAUNEUF-DU-RHONE,RTE,fr,"44.5001948814036, 4.713013184824599",1.72,8.88,61.83,21.90
CHATEAURENARD,RTE,fr,"43.8642884904265, 4.85693304187162",0.66,4.41,30.75,10.86
CHAUSSEE (LA),RTE,fr,"48.8387892456754, 4.51172780815712",1.60,10.64,74.27,26.24
CHAVANOD,RTE,fr,"45.8943774354055, 6.08119159524804",4.69,16.11,112.00,39.11
CHELM,PSE,pl,"51.18, 23.44",3.39,24.87,167.02,60.30
CHESNOY (LE),RTE,fr,"48.4012891681066, 2.87731171201625",1.75,8.06,56.42,19.95
CHEVALET,RTE,fr,"50.1896751765654, 2.64830064872661",3.12,31.60,391.64,29.62
CHEVILLY,RTE,fr,"48.7740546498509, 2.36530135194357",0.63,3.12,29.58,7.50
CHEVIRE,RTE,fr,"47.187760549014094, -1.60816143138527",0.42,2.86,21.10,7.33
CHMIELOW,PSE,pl,"50.51, 21.67",1.59,12.13,90.70,30.70
CHOLET,RTE,fr,"47.0634685344222, -0.896809666106013",1.56,10.41,75.38,25.07
CHOOZ,RTE,fr,"50.0922208222469, 4.8011337229783395",3.08,22.48,108.86,57.99
CIEPLICE,PSE,pl,"50.89, 15.68",2.49,18.52,122.58,44.30
CIROLLIERS,RTE,fr,"48.56640710198851, 2.3347079150094703",0.38,2.56,69.64,7.20
CISSAC,RTE,fr,"45.2185049238167, -0.84352964679482",2.29,15.12,216.42,39.31
